Kabupaten/Kota,,,,,,,
,[SERI 2010] PDRB Atas Dasar Harga Berlaku Menurut Pengeluaran Kabupaten/Kota (Milyar Rupiah),,,,,,
,Pengeluaran Konsumsi Rumah Tangga,Pengeluaran Konsumsi LNPRT,Pengeluaran Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Net Ekspor,PDRB
Kota Banjar Baru,6779.46,301.45,3222.12,5366.34,-35.73,-1115.91,14517.74
Paser,8656.03,111.6,2568.63,12518.04,20.61,31554.48,55429.39
Kutai Barat,6035.8,380.79,3291.49,14855.22,24.82,15106.18,39694.31
Kutai Kartanegara,25278.71,819.55,8820.61,91764.28,203.37,77813.63,204700.14
Kutai Timur,10811.73,443.82,4748,37363.11,165.76,105964.81,159497.23
Berau,5919.79,501.27,3091.82,11045.66,6.74,30251.23,50816.51
Penajam Paser Utara,5409.28,83.9,2596.49,21182.25,19.93,-5964.5,23327.35
Mahakam Ulu,895.63,35.1,685.02,1124.71,20.51,1012.99,3773.97
Kota Balikpapan,34983.43,821.25,5709.06,59331.81,92.48,52629.06,153567.1
Kota Samarinda,43356.63,1034.99,17578.09,47101.04,154.8,-10810.68,98414.87
Kota Bontang,7588,436.03,2049.97,10777.8,-1.99,47568.51,68418.31
Malinau,3141.27,171.37,2177.62,5325.2,94.89,7296.92,18207.27
Bulungan,4617.52,202.51,3528.88,13625.13,28.88,3749.48,25752.4
Tana Tidung,624.39,118.03,1020.5,2809.94,45.26,4679.21,9297.34
Nunukan,5447.86,125.75,1749.46,8566.37,37.89,24616.04,40543.37
Kota Tarakan,7419.68,472.03,2017.49,11816.42,167.48,34320.7,56213.8
Bolaang Mongondow,5551.28,134.24,1466.02,3045.39,0.46,1318.3,11515.68
Minahasa,10066.46,1390.47,1719.45,9661.55,0.23,1208.35,24046.51
Kepulauan Sangihe,3150.37,112.29,1230.88,1773.81,2.33,-100.63,6169.06
Kepulauan Talaud,2060.03,69.73,797.23,936.8,1.51,-767.35,3097.95
Minahasa Selatan,5829.52,547.43,1349.04,4453.56,1.55,422.89,12603.99
Minahasa Utara,8512.29,394.69,1043.14,8646.9,0.31,1784.34,20381.67
Bolaang Mongondow Utara,1688.69,63.02,635.38,931.24,0.36,225.44,3544.12
Siau Tagulandang Biaro,2168.43,259.25,1028.82,950.15,0.19,-1016.31,3390.53
Minahasa Tenggara,4110.11,271.57,764.12,3092.43,0.12,-883.53,7354.83
Bolaang Mongondow Selatan,1449.29,43.12,432.64,682.38,0.04,366.89,2974.36
Bolaang Mongondow Timur,2079.67,47.92,704.32,763.33,0.34,574.62,4170.2
Kota Manado,21714.33,1002.03,4978.37,16605.9,0.3,8714.07,53015.01
Kota Bitung,9349.88,389.78,1805.08,6419.14,3.39,6784.75,24752.02
Kota Tomohon,3219.01,89.47,895.97,3110.6,1.31,-1436.41,5879.93
Kota Kotamobagu,3281.96,100.32,824.13,1468.65,0.41,-460.83,5214.65
Banggai Kepulauan,3253.74,60.29,809.49,807.28,0.4,446.11,5377.32
Banggai,14173.44,741.6,3691.6,10221.83,381.32,11527.25,40737.03
Morowali,7917.43,195.83,966.84,77647.27,1602.2,85535.42,173864.99
Poso,7468.82,241.41,2401.45,5576.15,67.71,-3017.14,12738.41
Donggala,8784.41,264.99,2077.51,5429.76,55.08,-84.52,16527.22
Toli-Toli,6218.36,148.47,1675.43,3691.95,154.34,-813.61,11074.94
Buol,4286.68,102.62,1291.61,2686.36,7.79,-584.06,7791
Parigi Moutong,14226.79,1458.86,2755.02,10911.21,228.93,-6104.88,23475.94
Tojo Una-Una,4309.87,133.24,1530.9,1985.51,37.41,-642.71,7354.21
Sigi,7081.2,338.86,1839.3,5715.86,17.81,-2430.69,12562.35
Banggai Laut,2426.65,35.45,556.41,407.45,241.11,-443.64,3223.42
Morowali Utara,6847.97,143.77,1210.54,19083.52,-678.31,3626.02,30233.51
Kota Palu,19317.11,1287.87,4626.02,14846.73,177.53,-7336.52,32918.74
Kepulauan Selayar,4522.63,117.87,1115.99,3780.53,-9.28,-1187.23,8340.51
Bulukumba,12878.76,284.86,2134.53,5887.94,144.85,-1106.59,20224.35
Bantaeng,6993.81,273.66,1374.93,6785.44,-7.2,-1969.27,13451.36
